year,walker_estimate_pp,walker_se_pp,replication_estimate_pp,replication_se_pp,replication_p
2018,NA,0.6,0.05424190082121112,0.6427467649561336,0.9333063887630189
2019,0.4,0.5,0.32573388275697795,0.496400263238992,0.5167023922237299
2020,0.2,0.4,0.029218075522098944,0.4489792479595926,0.9485446780893003
2022,-0.9,0.3,-0.7223266688828488,0.2039712376251631,0.0013231210049463329
