year,estimate_pp,std_error_pp,conf_low_pp,conf_high_pp,p.value
2018,0.054241900821208784,0.3857133205240025,-0.7108186416026941,0.8193024432451117,0.8884415617126524
2019,0.3257338827569764,0.29902537178466565,-0.2673815243679101,0.9188492898818629,0.27858038237383903
2020,0.029218075522096862,0.3002442837552368,-0.5663150377170231,0.6247511887612167,0.9226677291118435
2022,-0.7223266688828514,0.20574410695187914,-1.1304191294991577,-0.3142342082665452,6.667637902056844e-4
